,Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
0,2,0,114.0,25.16556291,32.0,20.12578616,32.0,32.32323232,28.74439762
1,2,1,131.0,28.9183223,65.0,40.88050314,33.0,33.33333333,31.12582781
2,2,2,60.0,13.24503311,15.0,9.433962264,7.0,7.070707071,10.15787009
3,2,3,59.0,13.02428256,28.0,17.61006289,7.0,7.070707071,10.04749482
4,2,4,42.0,9.271523178999999,8.0,5.031446541,7.0,7.070707071,8.171115125
5,2,5,21.0,4.6357615889999995,2.0,1.257861635,3.0,3.03030303,3.83303231
6,2,6,12.0,2.649006623,1.0,0.628930818,1.0,1.01010101,1.829553816
7,2,7,14.0,3.0905077260000002,8.0,5.031446541,9.0,9.090909091,6.090708408999999
40,69,0,923.0,35.33690658,263.0,33.24905183,103.0,29.76878613,32.55284636
41,69,1,1242.0,47.54977029,349.0,44.12136536,167.0,48.26589595,47.90783312
42,69,2,217.0,8.307810107,72.0,9.102402023,38.0,10.98265896,9.645234533
43,69,3,124.0,4.747320061,26.0,3.2869785080000002,16.0,4.624277457,4.685798759
44,69,4,28.0,1.071975498,8.0,1.011378003,8.0,2.3121387280000003,1.6920571130000002
45,69,5,5.0,0.19142419600000002,8.0,1.011378003,2.0,0.5780346820000001,0.384729439
46,69,6,,0.0,,0.0,,0.0,0.0
47,69,7,73.0,2.794793262,65.0,8.217446271,12.0,3.468208092,3.131500677
56,64,0,71.0,20.0,34.0,20.60606061,15.0,16.66666667,18.33333333
57,64,1,133.0,37.46478873,85.0,51.51515152,22.0,24.44444444,30.95461659
58,64,2,48.0,13.52112676,9.0,5.454545455,12.0,13.33333333,13.42723005
59,64,3,46.0,12.95774648,12.0,7.272727272999999,17.0,18.88888889,15.92331768
60,64,4,16.0,4.507042254,1.0,0.606060606,4.0,4.444444444,4.475743349
61,64,5,16.0,4.507042254,2.0,1.212121212,4.0,4.444444444,4.475743349
62,64,6,16.0,4.507042254,,0.0,2.0,2.222222222,3.364632238
63,64,7,9.0,2.5352112680000003,22.0,13.33333333,14.0,15.55555556,9.045383412
88,51,0,69.0,15.09846827,52.0,17.68707483,48.0,18.8976378,16.99805303
89,51,1,164.0,35.88621444,89.0,30.27210884,76.0,29.92125984,32.90373714
90,51,2,85.0,18.59956236,48.0,16.32653061,40.0,15.7480315,17.17379693
91,51,3,79.0,17.28665208,57.0,19.3877551,68.0,26.77165354,22.02915281
92,51,4,11.0,2.4070021880000003,20.0,6.802721087999999,10.0,3.937007874,3.1720050310000003
93,51,5,23.0,5.032822757,18.0,6.12244898,6.0,2.362204724,3.6975137410000003
94,51,6,6.0,1.312910284,,0.0,2.0,0.787401575,1.05015593
95,51,7,20.0,4.376367615,10.0,3.4013605439999997,4.0,1.57480315,2.975585382
112,89,0,473.0,35.11507053,147.0,38.58267717,34.0,31.77570093,33.44538573
113,89,1,566.0,42.01930215,173.0,45.40682415,53.0,49.53271028,45.77600622
114,89,2,107.0,7.9435783220000005,29.0,7.611548556,4.0,3.738317757,5.84094804
115,89,3,83.0,6.161841128,18.0,4.7244094489999995,5.0,4.672897196,5.417369162000001
116,89,4,49.0,3.637713437,4.0,1.049868766,2.0,1.869158879,2.753436158
117,89,5,22.0,1.633259094,,0.0,4.0,3.738317757,2.6857884260000002
118,89,6,4.0,0.296956199,,0.0,,0.0,0.148478099
119,89,7,43.0,3.1922791389999996,10.0,2.624671916,5.0,4.672897196,3.932588168
136,21,0,543.0,52.56534366,250.0,50.30181087,75.0,66.37168142,59.46851254
137,21,1,396.0,38.33494676,203.0,40.84507042,22.0,19.46902655,28.90198665
138,21,2,26.0,2.516940949,19.0,3.8229376260000003,5.0,4.424778761000001,3.470859855
139,21,3,14.0,1.355275895,14.0,2.816901408,5.0,4.424778761000001,2.890027328
140,21,4,,0.0,,0.0,1.0,0.884955752,0.442477876
141,21,5,11.0,1.0648596320000001,,0.0,,0.0,0.5324298160000001
142,21,6,1.0,0.096805421,,0.0,2.0,1.769911504,0.9333584629999999
143,21,7,42.0,4.065827686,11.0,2.213279678,3.0,2.654867257,3.3603474710000003
144,6,0,35.0,13.671875,21.0,18.75,2.0,4.87804878,9.27496189
145,6,1,74.0,28.90625,34.0,30.35714286,18.0,43.90243902,36.40434451
146,6,2,49.0,19.140625,16.0,14.28571429,10.0,24.390243899999998,21.76543445
147,6,3,51.0,19.921875,19.0,16.96428571,7.0,17.07317073,18.49752287
148,6,4,20.0,7.8125,8.0,7.142857143,2.0,4.87804878,6.34527439
149,6,5,11.0,4.296875,8.0,7.142857143,2.0,4.87804878,4.58746189
150,6,6,7.0,2.734375,3.0,2.6785714290000002,,0.0,1.3671875
151,6,7,9.0,3.515625,3.0,2.6785714290000002,,0.0,1.7578125
176,11,0,22.0,37.93103448,5.0,35.71428571,3.0,100.0,68.96551724
177,11,1,22.0,37.93103448,2.0,14.28571429,,0.0,18.96551724
178,11,2,4.0,6.896551724,3.0,21.42857143,,0.0,3.448275862
179,11,3,4.0,6.896551724,3.0,21.42857143,,0.0,3.448275862
180,11,4,1.0,1.724137931,,0.0,,0.0,0.8620689659999999
181,11,5,1.0,1.724137931,,0.0,,0.0,0.8620689659999999
182,11,6,,0.0,,0.0,,0.0,0.0
183,11,7,4.0,6.896551724,1.0,7.142857143,,0.0,3.448275862
232,65,0,71.0,26.49253731,38.0,17.9245283,35.0,32.71028037,29.60140884
233,65,1,91.0,33.95522388,110.0,51.88679245,37.0,34.57943925,34.26733157
234,65,2,23.0,8.582089552000001,29.0,13.67924528,17.0,15.88785047,12.23497001
235,65,3,29.0,10.82089552,20.0,9.433962264,6.0,5.607476636,8.214186079
236,65,4,5.0,1.865671642,5.0,2.358490566,6.0,5.607476636,3.7365741389999996
237,65,5,3.0,1.119402985,4.0,1.8867924530000002,2.0,1.869158879,1.494280932
238,65,6,10.0,3.731343284,2.0,0.943396226,,0.0,1.865671642
239,65,7,36.0,13.43283582,4.0,1.8867924530000002,4.0,3.738317757,8.585576789
280,,0,,0.0,,0.0,,0.0,0.0
281,,1,,0.0,,0.0,,0.0,0.0
282,,2,,0.0,,0.0,,0.0,0.0
283,,3,,0.0,,0.0,,0.0,0.0
284,,4,,0.0,,0.0,,0.0,0.0
285,,5,,0.0,,0.0,,0.0,0.0
286,,6,,0.0,,0.0,,0.0,0.0
287,,7,,0.0,,0.0,,0.0,0.0
336,82,0,436.0,34.46640316,131.0,33.67609254,35.0,22.58064516,28.52352416
337,82,1,545.0,43.08300395,194.0,49.8714653,84.0,54.19354839,48.63827617
338,82,2,91.0,7.193675889,15.0,3.8560411310000005,10.0,6.451612902999999,6.822644396
339,82,3,107.0,8.458498023999999,21.0,5.398457584,15.0,9.677419355,9.067958689
340,82,4,31.0,2.450592885,5.0,1.285347044,1.0,0.64516129,1.5478770880000001
341,82,5,9.0,0.7114624509999999,11.0,2.827763496,2.0,1.2903225809999999,1.000892516
342,82,6,4.0,0.316205534,,0.0,2.0,1.2903225809999999,0.803264057
343,82,7,42.0,3.3201581030000002,12.0,3.084832905,6.0,3.870967742,3.595562922
344,52,0,28.0,21.21212121,2.0,3.6363636360000005,2.0,16.66666667,18.93939394
345,52,1,84.0,63.63636364,18.0,32.72727273,4.0,33.33333333,48.48484848
346,52,2,,0.0,8.0,14.54545455,1.0,8.333333332999999,4.166666667
347,52,3,10.0,7.575757576,2.0,3.6363636360000005,2.0,16.66666667,12.12121212
348,52,4,1.0,0.757575758,,0.0,,0.0,0.378787879
349,52,5,8.0,6.0606060610000005,17.0,30.90909091,1.0,8.333333332999999,7.196969697
350,52,6,,0.0,,0.0,,0.0,0.0
351,52,7,1.0,0.757575758,8.0,14.54545455,2.0,16.66666667,8.712121212000001
376,86,0,292.0,36.18339529,96.0,23.52941176,51.0,28.33333333,32.25836431
377,86,1,359.0,44.48574969,177.0,43.38235294,84.0,46.66666667,45.57620818
378,86,2,69.0,8.550185874,38.0,9.31372549,9.0,5.0,6.775092937
379,86,3,28.0,3.4696406439999996,15.0,3.676470588,18.0,10.0,6.734820322000001
380,86,4,8.0,0.9913258979999999,17.0,4.166666667,4.0,2.222222222,1.60677406
381,86,5,6.0,0.7434944240000001,18.0,4.4117647060000005,6.0,3.333333333,2.038413879
382,86,6,,0.0,,0.0,4.0,2.222222222,1.111111111
383,86,7,45.0,5.576208178,47.0,11.51960784,4.0,2.222222222,3.8992152
392,88,0,292.0,31.09691161,158.0,43.40659341,63.0,29.71698113,30.40694637
393,88,1,417.0,44.40894569,146.0,40.10989011,92.0,43.39622642,43.90258605
394,88,2,75.0,7.987220447,22.0,6.043956044,19.0,8.962264151,8.474742298999999
395,88,3,74.0,7.880724175,15.0,4.120879121000001,20.0,9.433962264,8.657343219
396,88,4,11.0,1.1714589990000002,8.0,2.197802198,9.0,4.2452830189999995,2.708371009
397,88,5,19.0,2.02342918,4.0,1.098901099,3.0,1.41509434,1.71926176
398,88,6,6.0,0.638977636,,0.0,2.0,0.943396226,0.7911869309999999
399,88,7,45.0,4.792332268,11.0,3.021978022,4.0,1.8867924530000002,3.339562361
408,83,0,382.0,34.04634581,171.0,37.5,59.0,38.06451613,36.05543097
409,83,1,564.0,50.26737968,181.0,39.69298246,57.0,36.77419355,43.52078661
410,83,2,61.0,5.436720143,36.0,7.894736842,14.0,9.032258065,7.234489104
411,83,3,65.0,5.793226381,41.0,8.99122807,19.0,12.25806452,9.025645448999999
412,83,4,7.0,0.6238859179999999,10.0,2.1929824559999997,2.0,1.2903225809999999,0.957104249
413,83,5,9.0,0.802139037,6.0,1.315789474,2.0,1.2903225809999999,1.046230809
414,83,6,6.0,0.534759358,,0.0,,0.0,0.267379679
415,83,7,28.0,2.4955436719999997,11.0,2.412280702,2.0,1.2903225809999999,1.892933126
424,13,0,14.0,73.68421053,9.0,69.23076923,6.0,50.0,61.84210526
425,13,1,4.0,21.05263158,4.0,30.76923077,4.0,33.33333333,27.19298246
426,13,2,1.0,5.263157895,,0.0,,0.0,2.631578947
427,13,3,,0.0,,0.0,2.0,16.66666667,8.333333332999999
428,13,4,,0.0,,0.0,,0.0,0.0
429,13,5,,0.0,,0.0,,0.0,0.0
430,13,6,,0.0,,0.0,,0.0,0.0
431,13,7,,0.0,,0.0,,0.0,0.0
464,24,0,112.0,41.63568773,22.0,27.5,17.0,20.48192771,31.05880772
465,24,1,94.0,34.94423792,31.0,38.75,41.0,49.39759036,42.17091414
466,24,2,33.0,12.26765799,8.0,10.0,12.0,14.45783133,13.36274466
467,24,3,10.0,3.717472119,15.0,18.75,6.0,7.2289156629999995,5.473193891
468,24,4,1.0,0.37174721200000005,,0.0,,0.0,0.18587360600000002
469,24,5,2.0,0.7434944240000001,2.0,2.5,,0.0,0.37174721200000005
470,24,6,4.0,1.4869888480000002,2.0,2.5,,0.0,0.7434944240000001
471,24,7,13.0,4.832713755,,0.0,7.0,8.43373494,6.6332243470000005
488,20,0,919.0,51.95025438,230.0,44.48742747,76.0,40.64171123,46.29598281
489,20,1,613.0,34.65234596,225.0,43.52030948,80.0,42.78074866,38.71654731
490,20,2,86.0,4.861503674,18.0,3.481624758,12.0,6.417112298999999,5.6393079870000005
491,20,3,58.0,3.278688525,15.0,2.901353965,3.0,1.604278075,2.4414833
492,20,4,5.0,0.282645562,5.0,0.9671179879999999,,0.0,0.141322781
493,20,5,18.0,1.017524025,4.0,0.7736943909999999,,0.0,0.508762012
494,20,6,5.0,0.282645562,6.0,1.160541586,,0.0,0.141322781
495,20,7,65.0,3.6743923119999997,14.0,2.707930368,16.0,8.556149733,6.115271022000001
512,50,0,123.0,21.96428571,49.0,14.54005935,8.0,12.30769231,17.13598901
513,50,1,170.0,30.35714286,108.0,32.04747774,22.0,33.84615385,32.10164835
514,50,2,92.0,16.42857143,56.0,16.61721068,6.0,9.230769231,12.82967033
515,50,3,109.0,19.46428571,75.0,22.25519288,17.0,26.15384615,22.80906593
516,50,4,13.0,2.3214285709999998,23.0,6.824925816,2.0,3.076923077,2.6991758239999997
517,50,5,28.0,5.0,7.0,2.077151335,4.0,6.153846154,5.576923077000001
518,50,6,4.0,0.7142857140000001,7.0,2.077151335,2.0,3.076923077,1.895604396
519,50,7,21.0,3.75,12.0,3.5608308610000003,4.0,6.153846154,4.951923077
536,7,0,118.0,32.15258856,31.0,22.96296296,21.0,29.16666667,30.65962761
537,7,1,117.0,31.88010899,60.0,44.44444444,26.0,36.11111111,33.99561005
538,7,2,45.0,12.26158038,17.0,12.59259259,8.0,11.11111111,11.68634575
539,7,3,38.0,10.35422343,17.0,12.59259259,6.0,8.333333332999999,9.343778383
540,7,4,21.0,5.722070845,4.0,2.9629629630000003,4.0,5.555555556,5.6388132
541,7,5,10.0,2.72479564,2.0,1.4814814809999999,1.0,1.388888889,2.056842265
542,7,6,6.0,1.6348773840000002,,0.0,,0.0,0.8174386920000001
543,7,7,12.0,3.2697547680000003,4.0,2.9629629630000003,6.0,8.333333332999999,5.8015440510000005
576,66,0,95.0,30.25477707,18.0,17.82178218,,0.0,15.12738854
577,66,1,103.0,32.80254777,48.0,47.52475248,2.0,25.0,28.90127389
578,66,2,18.0,5.732484076,10.0,9.900990099,,0.0,2.866242038
579,66,3,38.0,12.10191083,2.0,1.98019802,4.0,50.0,31.05095541
580,66,4,6.0,1.910828025,3.0,2.97029703,,0.0,0.955414013
581,66,5,32.0,10.1910828,12.0,11.88118812,,0.0,5.095541401
582,66,6,2.0,0.636942675,8.0,7.920792079,2.0,25.0,12.81847134
583,66,7,20.0,6.369426752000001,,0.0,,0.0,3.1847133760000004
600,25,0,73.0,36.13861386,32.0,22.53521127,15.0,38.46153846,37.30007616
601,25,1,80.0,39.6039604,72.0,50.70422535,17.0,43.58974359,41.59685199
602,25,2,13.0,6.435643563999999,19.0,13.38028169,2.0,5.128205128,5.781924346
603,25,3,20.0,9.900990099,11.0,7.746478872999999,3.0,7.692307692000001,8.796648896
604,25,4,2.0,0.99009901,,0.0,,0.0,0.495049505
605,25,5,3.0,1.485148515,,0.0,,0.0,0.742574257
606,25,6,2.0,0.99009901,,0.0,,0.0,0.495049505
607,25,7,9.0,4.455445545,8.0,5.633802817,2.0,5.128205128,4.7918253360000005
656,48,0,50.0,44.64285714,38.0,42.22222222,1.0,6.666666667,25.654761899999997
657,48,1,49.0,43.75,18.0,20.0,6.0,40.0,41.875
658,48,2,4.0,3.571428571,13.0,14.44444444,3.0,20.0,11.78571429
659,48,3,2.0,1.785714286,3.0,3.333333333,,0.0,0.892857143
660,48,4,2.0,1.785714286,10.0,11.11111111,,0.0,0.892857143
661,48,5,3.0,2.6785714290000002,,0.0,3.0,20.0,11.33928571
662,48,6,,0.0,,0.0,,0.0,0.0
663,48,7,2.0,1.785714286,8.0,8.888888889,2.0,13.33333333,7.55952381
680,1,0,81.0,15.25423729,30.0,18.29268293,11.0,17.74193548,16.49808639
681,1,1,183.0,34.46327684,60.0,36.58536585,12.0,19.35483871,26.90905777
682,1,2,79.0,14.87758945,29.0,17.68292683,11.0,17.74193548,16.30976247
683,1,3,94.0,17.70244821,22.0,13.41463415,15.0,24.19354839,20.947998300000002
684,1,4,37.0,6.9679849339999995,14.0,8.536585366,4.0,6.451612902999999,6.709798919
685,1,5,25.0,4.708097928,5.0,3.0487804880000002,4.0,6.451612902999999,5.579855416
686,1,6,14.0,2.63653484,,0.0,2.0,3.225806452,2.9311706460000004
687,1,7,18.0,3.389830508,4.0,2.43902439,3.0,4.838709677,4.114270093
736,98,0,2128.0,36.77207534,969.0,39.97524752,295.0,44.09566517,40.43387026
737,98,1,2291.0,39.58873337,881.0,36.34488449,208.0,31.09118087,35.33995712
738,98,2,349.0,6.030758597,183.0,7.54950495,50.0,7.473841555,6.752300076
739,98,3,475.0,8.208052532,198.0,8.168316832,37.0,5.53064275,6.869347641
740,98,4,127.0,2.194574045,36.0,1.485148515,24.0,3.587443946,2.891008996
741,98,5,79.0,1.3651287369999998,38.0,1.567656766,7.0,1.046337818,1.205733277
742,98,6,22.0,0.38016243299999997,4.0,0.16501650199999998,,0.0,0.190081217
743,98,7,316.0,5.460514947,115.0,4.744224422,48.0,7.174887892,6.31770142
